TIER,PRICETIERKEY,Quotes,Avg_Margin_Pct,Win_Rate_Pct
Tier_1,4246EF01-BC98-EF11-88CF-000D3A13CC68,1202,8.11,49.0
Tier_2,167E2F63-3A3B-F011-A5F1-000D3A107879,880,29.12,1.0
Tier_3,4346EF01-BC98-EF11-88CF-000D3A13CC68,692,12.72,40.0
Tier_4,842B96E4-0D17-F011-8B3D-000D3A124E64,268,25.21,17.0
Tier_5,DA79A248-EB42-F011-8F7C-000D3A124E64,148,33.91,35.0
Tier_6,06CEF3F5-DEE7-EF11-90CB-0022482B8D14,50,12.04,22.0
Tier_7,3133B4BF-B06C-F011-8DC9-000D3A124E64,41,62.42,7.0
Tier_8,DD79A248-EB42-F011-8F7C-000D3A124E64,40,11.65,70.0
Tier_9,187E2F63-3A3B-F011-A5F1-000D3A107879,39,12.58,0.0
Tier_10,0ECEF3F5-DEE7-EF11-90CB-0022482B8D14,18,21.11,11.0
Tier_12,0DCEF3F5-DEE7-EF11-90CB-0022482B8D14,13,10.54,23.0
Tier_11,F51E9DD9-8B32-F011-A5F1-000D3A107879,13,31.15,62.0
Tier_13,8ADD7401-1667-F011-8DC9-000D3A124E64,11,23.18,0.0
Tier_14,E2E46766-893B-42DB-8381-08DE544FF537,10,11.8,20.0
Tier_15,D979A248-EB42-F011-8F7C-000D3A124E64,7,25.0,0.0
Tier_16,F31E9DD9-8B32-F011-A5F1-000D3A107879,4,18.75,0.0
Tier_18,177E2F63-3A3B-F011-A5F1-000D3A107879,3,15.0,33.0
Tier_17,74B6C324-F193-F011-B486-000D3A13CA23,3,15.0,0.0
Tier_20,07CEF3F5-DEE7-EF11-90CB-0022482B8D14,2,22.0,0.0
Tier_19,0FCEF3F5-DEE7-EF11-90CB-0022482B8D14,2,60.0,0.0
